2011-03-12 10:02:55 Debug: Notice (8): Undefined offset: 5 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:02:55 Debug: Notice (8): Undefined offset: 6 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:03:13 Debug: Notice (8): Undefined offset: 2 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:03:13 Debug: Notice (8): Undefined offset: 5 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:03:13 Debug: Notice (8): Undefined offset: 6 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:03:13 Debug: Notice (8): Undefined offset: 2 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:03:13 Debug: Notice (8): Undefined offset: 5 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:03:13 Debug: Notice (8): Undefined offset: 6 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:03:28 Debug: Notice (8): Undefined offset: 2 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:03:28 Debug: Notice (8): Undefined offset: 5 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:03:28 Debug: Notice (8): Undefined offset: 6 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:03:28 Debug: Notice (8): Undefined offset: 2 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:03:28 Debug: Notice (8): Undefined offset: 5 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:03:28 Debug: Notice (8): Undefined offset: 6 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:03:29 Debug: Notice (8): Undefined offset: 2 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:03:29 Debug: Notice (8): Undefined offset: 5 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:03:29 Debug: Notice (8): Undefined offset: 6 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:03:39 Debug: Notice (8): Undefined offset: 2 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:03:39 Debug: Notice (8): Undefined offset: 5 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:03:39 Debug: Notice (8): Undefined offset: 6 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:03:39 Debug: Notice (8): Undefined offset: 2 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:03:39 Debug: Notice (8): Undefined offset: 5 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:03:39 Debug: Notice (8): Undefined offset: 6 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:04:21 Debug: Notice (8): Undefined offset: 2 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:04:21 Debug: Notice (8): Undefined offset: 5 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:04:21 Debug: Notice (8): Undefined offset: 6 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:05:58 Debug: Notice (8): Undefined offset: 2 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:05:58 Debug: Notice (8): Undefined offset: 5 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:05:58 Debug: Notice (8): Undefined offset: 6 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:06:10 Debug: Notice (8): Undefined offset: 2 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:06:10 Debug: Notice (8): Undefined offset: 5 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:06:10 Debug: Notice (8): Undefined offset: 6 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:11:19 Debug: Notice (8): Undefined offset: 2 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:11:19 Debug: Notice (8): Undefined offset: 5 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:11:19 Debug: Notice (8): Undefined offset: 6 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:11:49 Debug: Notice (8): Undefined offset: 2 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:11:49 Debug: Notice (8): Undefined offset: 5 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:11:49 Debug: Notice (8): Undefined offset: 6 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:11:49 Debug: Notice (8): Undefined offset: 2 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:11:49 Debug: Notice (8): Undefined offset: 5 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:11:49 Debug: Notice (8): Undefined offset: 6 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:11:50 Debug: Notice (8): Undefined offset: 2 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:11:50 Debug: Notice (8): Undefined offset: 5 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:11:50 Debug: Notice (8): Undefined offset: 6 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:11:51 Debug: Notice (8): Undefined offset: 2 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:11:51 Debug: Notice (8): Undefined offset: 5 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:11:51 Debug: Notice (8): Undefined offset: 6 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:12:40 Debug: Notice (8): Undefined offset: 2 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:12:49 Debug: Notice (8): Undefined offset: 2 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:12:49 Debug: Notice (8): Undefined offset: 5 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:12:49 Debug: Notice (8): Undefined offset: 6 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:13:15 Debug: Notice (8): Undefined offset: 2 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:13:15 Debug: Notice (8): Undefined offset: 5 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:13:15 Debug: Notice (8): Undefined offset: 6 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:13:21 Debug: Notice (8): Undefined offset: 2 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:13:21 Debug: Notice (8): Undefined offset: 5 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:13:21 Debug: Notice (8): Undefined offset: 6 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:13:59 Debug: Notice (8): Undefined offset: 2 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:13:59 Debug: Notice (8): Undefined offset: 5 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:13:59 Debug: Notice (8): Undefined offset: 6 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:13:59 Debug: Notice (8): Undefined offset: 2 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:13:59 Debug: Notice (8): Undefined offset: 5 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:13:59 Debug: Notice (8): Undefined offset: 6 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:13:59 Debug: Notice (8): Undefined offset: 2 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:13:59 Debug: Notice (8): Undefined offset: 5 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:13:59 Debug: Notice (8): Undefined offset: 6 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:14:31 Debug: Notice (8): Undefined offset: 2 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:14:31 Debug: Notice (8): Undefined offset: 5 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:14:31 Debug: Notice (8): Undefined offset: 6 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:14:48 Debug: Notice (8): Undefined offset: 2 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:14:48 Debug: Notice (8): Undefined offset: 5 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:14:48 Debug: Notice (8): Undefined offset: 6 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:15:03 Debug: Notice (8): Undefined offset: 2 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:15:03 Debug: Notice (8): Undefined offset: 5 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:15:03 Debug: Notice (8): Undefined offset: 6 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:16:26 Debug: Notice (8): Undefined offset: 2 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:16:26 Debug: Notice (8): Undefined offset: 5 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:16:26 Debug: Notice (8): Undefined offset: 6 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:16:38 Debug: Notice (8): Undefined offset: 2 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:16:38 Debug: Notice (8): Undefined offset: 5 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:16:38 Debug: Notice (8): Undefined offset: 6 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:17:23 Debug: Notice (8): Undefined offset: 2 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
2011-03-12 10:17:23 Debug: Notice (8): Undefined offset: 5 in [D:\webroot\mihinlanka\app\controllers\promotions_controller.php, line 46]
